week_start,quarter,sessions,signups,revenue_php,conversion_rate
2021-01-04,2021-Q1,4245,162,180320.01,0.0381
2021-01-11,2021-Q1,4198,165,187416.9,0.0392
2021-01-18,2021-Q1,4317,169,196756.96,0.0393
2021-01-25,2021-Q1,4528,176,209758.1,0.0389
2021-02-01,2021-Q1,4459,171,197722.93,0.0385
2021-02-08,2021-Q1,4728,178,195850.81,0.0376
2021-02-15,2021-Q1,4802,180,217411.22,0.0375
2021-02-22,2021-Q1,4681,169,185168.27,0.036
2021-03-01,2021-Q1,4904,175,204061.03,0.0357
2021-03-08,2021-Q1,4949,167,192933.87,0.0338
2021-03-15,2021-Q1,4833,161,188416.77,0.0334
2021-03-22,2021-Q1,4981,160,175596.59,0.0321
2021-03-29,2021-Q1,5065,161,188526.19,0.0317
2021-04-05,2021-Q2,5042,155,186482.25,0.0308
2021-04-12,2021-Q2,5113,150,177297.84,0.0293
2021-04-19,2021-Q2,5209,155,186702.45,0.0298
2021-04-26,2021-Q2,5015,146,169886.79,0.0292
2021-05-03,2021-Q2,5038,141,158918.67,0.028
2021-05-10,2021-Q2,5142,140,156153.46,0.0271
2021-05-17,2021-Q2,5031,127,147949.92,0.0252
2021-05-24,2021-Q2,5067,131,146039.78,0.0258
2021-05-31,2021-Q2,5041,120,132561.57,0.0238
2021-06-07,2021-Q2,4949,119,139528.36,0.0241
2021-06-14,2021-Q2,4951,118,139234.84,0.0238
2021-06-21,2021-Q2,5020,121,143084.81,0.0242
2021-06-28,2021-Q2,4938,116,137511.58,0.0234
2021-07-05,2021-Q3,4950,114,125661.36,0.0231
2021-07-12,2021-Q3,4777,113,130138.17,0.0236
2021-07-19,2021-Q3,4724,108,128100.63,0.0228
2021-07-26,2021-Q3,4822,109,128368.13,0.0226
2021-08-02,2021-Q3,4728,115,131606.62,0.0244
2021-08-09,2021-Q3,4800,118,129871.72,0.0245
2021-08-16,2021-Q3,4664,119,137535.54,0.0256
2021-08-23,2021-Q3,4620,116,136315.95,0.0251
2021-08-30,2021-Q3,4734,125,142556.17,0.0264
2021-09-06,2021-Q3,4558,127,151726.11,0.028
2021-09-13,2021-Q3,4722,129,150539.41,0.0273
2021-09-20,2021-Q3,4610,138,151893.41,0.03
2021-09-27,2021-Q3,4697,143,163943.27,0.0304
2021-10-04,2021-Q4,4673,141,156309.59,0.0301
2021-10-11,2021-Q4,4684,146,173087.77,0.0311
2021-10-18,2021-Q4,4824,156,181486.16,0.0323
2021-10-25,2021-Q4,4924,164,180100.07,0.0333
2021-11-01,2021-Q4,4778,163,189740.02,0.0341
2021-11-08,2021-Q4,4807,172,191035.91,0.0359
2021-11-15,2021-Q4,4969,178,213656.98,0.0358
2021-11-22,2021-Q4,5004,181,199069.7,0.0362
2021-11-29,2021-Q4,5098,188,226721.94,0.0369
2021-12-06,2021-Q4,5210,197,228145.28,0.0378
2021-12-13,2021-Q4,5196,203,224773.49,0.0391
2021-12-20,2021-Q4,5454,212,244138.93,0.0389
2021-12-27,2021-Q4,5346,203,227990.95,0.038
2022-01-03,2022-Q1,5548,211,234368.4,0.038
2022-01-10,2022-Q1,5675,218,246274.37,0.0384
2022-01-17,2022-Q1,5709,219,252920.42,0.0384
2022-01-24,2022-Q1,5745,227,262213.69,0.0394
2022-01-31,2022-Q1,5917,224,252185.21,0.0378
2022-02-07,2022-Q1,5943,219,240916.09,0.0369
2022-02-14,2022-Q1,6141,227,260081.31,0.037
2022-02-21,2022-Q1,6077,217,247870.02,0.0358
2022-02-28,2022-Q1,6291,222,254386.55,0.0354
2022-03-07,2022-Q1,6350,227,265253.53,0.0357
2022-03-14,2022-Q1,6184,207,245671.7,0.0335
2022-03-21,2022-Q1,6330,213,238109.32,0.0337
2022-03-28,2022-Q1,6290,207,244419.8,0.0328
2022-04-04,2022-Q2,6392,202,239056.24,0.0316
2022-04-11,2022-Q2,6402,192,229880.69,0.03
2022-04-18,2022-Q2,6338,183,211024.23,0.0288
2022-04-25,2022-Q2,6567,181,217380.43,0.0276
2022-05-02,2022-Q2,6413,177,204349.21,0.0276
2022-05-09,2022-Q2,6451,171,203904.66,0.0266
2022-05-16,2022-Q2,6391,160,180730.21,0.0251
2022-05-23,2022-Q2,6341,164,196416.85,0.0258
2022-05-30,2022-Q2,6422,151,176409.71,0.0234
2022-06-06,2022-Q2,6300,153,168902.26,0.0244
2022-06-13,2022-Q2,6308,154,177876.65,0.0244
2022-06-20,2022-Q2,6372,146,169733.45,0.023
2022-06-27,2022-Q2,6271,139,156597.86,0.0222
2022-07-04,2022-Q3,6191,137,160837.26,0.0221
2022-07-11,2022-Q3,6218,146,169909.52,0.0235
2022-07-18,2022-Q3,6159,146,159599.44,0.0237
2022-07-25,2022-Q3,6047,146,160805.07,0.0242
2022-08-01,2022-Q3,6068,140,166107.41,0.0231
2022-08-08,2022-Q3,6010,143,169669.99,0.0237
2022-08-15,2022-Q3,6138,151,167763.76,0.0246
2022-08-22,2022-Q3,6012,158,172766.42,0.0262
